journal_num|text|class
92|A Bill for the more effectual preventing Clandestine Outlawries, was read the first time; and ordered to be read a second time|Reading of a Bill
92|PETITION of several Persons whose names are there unto subscribed, for leave to bring in a Bill for making a Railway from London to Brighton, to commence on the line of, and to forma communication with, the intended Railway from London to Southampton, was presented, and read; and ordered to lie upon the Table.|Petition for leave to bring bill
92|Sir John Beckett presented a Bill for inclosing Carlton and Lands in the Township of Lofthouse-cum-Carlton, in the Parish of Rothwell, in the West Riding of the County of York: And the same was read the first time; and ordered to be read a secondtime.|Reading of a Bill
92|Lord Russell presented a Bill for inclosing and exonerating from Tithes, Lands in the Parish of Cranfield, in the County of Bedford: And the same was read the first time; and ordered to be read a secondtime.|Reading of a Bill
92|A Petition of Hand-loom Weavers of Longtown, praying for the establishment of Boards of Trade for regulating the prices of Hand-loom Weaving, was presented, and read; and ordered to lie upon the Table.|Reading of a Petition
92|A Petition of Freedmen of Godmanchester, praying the House to amend the Municipal Corporations Act, by rendering the Evidence of a freeman valid in any case or cause in which he or his privileges are concerned, was presented, and read: and ordered to lie upon the Table.|Reading of a Petition
92|Lord John Russell presented, by His Majesty's command, The First Report of the Commissioners of Religious Instruction, Scotland. \n Ordered,That the said Paper do lie upon the Table.|Reading of a Report
92|The House was moved, That the Act 6 and 7 Will. 4, c.85, for Marriages in England, might be read; and the same was read. The House was also moved, That the Act 6 and 7 Will. 4, c. 86, for registering Births, Deaths and Marriages in England, might be read; and the same being read. Ordered, That leave be given to bring in a Bill to suspend the operation of the said Acts: And that Lord John Russel and Mr. Solicitor General do prepare, and bring it in|Motion for leave to bring Bill
92|Ordered, That leave be given to bring in a Bill to abolish certain Offices in the Superior Courts of Common Law, and to make provision for a more effective and uniform establishment of Officers in those Courts: And that Mr. Serjeant Goulburn, Mr. Freslifield, and Mr. Aglionby, do prepare, and bring it in.|Motion for leave to bring Bill
92|The House was moved, That the Act 5 and 6 Will. 4, c.76, to provide for the Regulation of Municipal Corporations in England and Wales, might be read; and the same being read; Ordered, That leave be given to bring in a Bill to amend the said Act: And that Mr. Attorney General and Mr. Solicitor General do prepare, and bring it in.|Motion for leave to bring Bill
92|Ordered, That a Standing Committee of Sixteen \n Members be appointed to assist Mr. Speaker in the \n direction of the Library, to whom shall be referred  \n all matters relating thereto: - And a Committee was \n appointed of Sir Robert Inglis, Mr. Chancellor of \n the Exchequer, Sir Robert Peel, Sir Henry Hardinge, \n Dr. Lushington, Mr. Goulburn, Mr. Shaw, the Lord \n Advocate, Mr. Williams Wynn, Mr. Warburton, Lord \n Viscount Clive, Mr. Stewart Mackenzie, Mr. William \n Gladstone, Mr. Tooke, Mr. Fazakerly, and Mr. \n Gaily Knight.|Order
107|Ordered, That leave be given to bring in a Bill to suspend the operation of the said Acts: And that Lord John Russell and Mr. Solicitor General do prepare, and bring it in.|Motion for leave to bring Bill
107|Ordered, That leave be given to bring in a Bill to enable Her Majesty to carry into effect Arrangements made with Foreign Powers for the Apprehension of Seamen who desert from their Ships.|Motion for leave to bring Bill
107|A Motion was made, and the Question was proposed, That the Board of Works in Ireland be directed to complete forthwith the Drainage Works undertaken by them on the River Fergus: And the said Motion was, with leave of the House, withdrawn.|Motion withdrawn
107|A Motion was made, and the Question was proposed, That Mr. 0' Flaherty, Mr. Scully, Mr. Wyndham Goold and Mr. Solicitor General for Ireland, be added to the Select Committee on Outrages (Ireland): And the said Motion was, with leave of the House, withdrawn.|Motion withdrawn
107|The House was moved, That the Act 6 and 7 Will. 4, c.85, for Marriages in England, might be read; and the same was read.|Reading of a Bill
107|The Order of the day being read, for the third reading of the Corrupt Practices at Elections Bill.|Reading of a Bill
107|A Motion was made, and the Question was proposed, That the Debate be now adjourned: And the said Motion was, with leave of the House, withdrawn.|Adjournment of Debate
107|Ordered, That the Debate be adjourned till this day.|Adjournment of Debate
107|A Motion was made, and the Question was proposed, That the Select Committee on Manchester and Salford Education do consist of the following Members...|Appointment of Committees
107|Ordered, That Mr. Stephenson, Mr. Locke and Mr. Fitzroy be added to the Select Committee on Ventilation and Lighting of the House.|Appointment of Committees
107|Resolved, That no Peer of the Realm, except such Peers of Ireland as shall for the time being be actually elected, and shall not have declined to serve, for any County, City or Borough of Great Britain, hath any right to give his Vote in the Election of any Member to serve in Parliament.|Resolution
107|Resolved, That it is a high infringement of the liberties and privileges of the Commons of the United Kingdom, for any Lord of Parliament, or other Peer or Prelate, not being a Peer of Ireland at the time elected, and not having declined to serve for any County, City or Borough of Great Britain, to concern himself in the Election of Members to serve for the Commons in Parliament.|Resolution
107|Resolved, That if it shall appear that any person hath been elected or returned a Member of this House, or endeavoured so to be, by Bribery, or any other corrupt practices, this House will proceed with the utmost severity against all such persons as shall have been wilfully concerned in such Bribery or other corrupt practices.|Resolution
107|Resolved, That if it shall appear that any person hath been tampering with any Witness, in respect of his Evidence to be given to this House, or any Committee thereof, or directly or indirectly hath endeavoured to deter or hinder any person from appearing or giving Evidence, the same is declared to be a high crime and misdemeanor; and this House will proceed with the utmost severity against such offender.|Resolution
107|Resolved, That if it shall appear that any person hath given false Evidence in any case before this House, or any Committee thereof, this House will proceed with the utmost severity against such offender.|Resolution
107|Ordered, That the Commissioners of the Police of the Metropolis do take care that, during the Session of Parliament, the passages through the Streets leading to this House be kept free and open.|Order
107|Ordered, That the Serjeant-at-Arms attending this House do, from time to time, when the House is going to Prayers, give notice thereof to all Committees.|Order
107|Ordered, That all Persons who will question any Returns of Members to serve in Parliament, for any County, City, Borough or Place in the United Kingdom, do question the same within Fourteen Days.|Order
107|Ordered, That all Members who are returned for two or more Places in any part of the United Kingdom do make their Election for which of the Places they will serve, within One Week.|Order
92|Bill to alter and amend the \n several Acts enabling \n them to make a Reservoir, and to establish Vessels \n for the conveyance of goods from Ellesmere Port \n across the River Mersey, \n and also to amend and \n enlarge the powers of the Act relating to the \n said \n B 3 \n Canal,|Motion for leave to bring Bill
92|Bill to alter \n and amend the several Acts for making a Railway \n from the River Tees, near Haverton Hill, in the \n Parish of Billingham, to a place called Sim Pasture \n Farm, in the Parish of Heighington, all in the \n County of Durham, with certain Branches there- \n from, and to enable them to raise a further capital \n or \n joint stock, was presented, and read ; and ordered \n to lie upon the Table. \n A Petition of Owners or Proprietors of land in \n the parish of Cranfield, in the county of Bedford, \n for leave to bring in a Bill for dividing, allotting and \n inclosing several open fields and commonable and \n waste lands and grounds in the said parish, was pre- \n sented, and read ; and a Bill was ordered to be \n brought in accordingly, by Lord Charles Russell and \n Lord Viscount Alford. \n A Petition of Trustees for executing an Act for \n more effectually making and repairing the Roads \n between Newton Abbott and Brzxhanz, Kingswear \n and Dartmouth, Skaldon and Torquay, and also be- \n tween Torquay and Saint Mary Church, and the \n Bridge to be built over the River Teign at Shaldon, \n and for making and repairing several other Roads \n communicating therewith, all in the county of Devon, \n for leave to bring in a Bill for continuing the term \n and altering and enlarging the powers of the said \n Act, and for making and maintaining certain \n new \n lines of road, was presented, and read ; and \n a Bill \n was ordered to be brought in accordingly, by Sir \n John Yarde Buller and Mr. Montague Parker. \n A Petition of the Mayor, Aldermen and Burgesses \n of Leicester, for leave to bring in a Bill to empower \n them to sell and dispose of so much of their Real \n Estates as will enable them to pay off and discharge \n the monies borrowed upon the credit of the rates of \n the said borough, and to pay and satisfy the interest \n of the said monies so borrowed, until the principal \n shall have been discharged by and out of the rents \n and annual profits of the said Real Estates, \n was pre- \n sented, and read ; and ordered to lie upon the Table. \n A Petition of Owners, Proprietors or Occupiers \n of land in several parishes in the county of Aberdeen, \n for leave to bring in a Bill for making and maintain- \n ing several lines of road in the said county, \n was \n presented, and read ; \n and ordered to lie upon the \n Table. \n A Petition of Commissioners for executing several \n Acts for regulating the Police of the city of Edin- \n burgh and adjoining districts, and for other \n purposes, \n for leave to bring in a Bill to continue, alter, enlarge, \n explain and amend the said Acts, was presented, \n and read ; and ordered to lie upon the Table. \n A Petition of Proprietors of estates, and others Carlton \n and \n o \n u \n enjoying rights of common, for leave to bring in \n a \n Inclosure. \n Lft \n se \n Bill for enclosing, dividing and allotting divers \n com- \n mon and waste lands within the hamlet of Carlton, \n in the township of Lofthouse-cum-Carlton in the \n parish of Rothwell, in the West Riding of the county \n of York, was presented, and read ; and a Bill \n was \n ordered to be brought in accordingly, by Sir John \n Beckett and Mr. Baines. \n A Petition of Bankers, Merchants, Traders and Belfast \n others interested in the improvement of the Port Harbour. \n and Harbour of Belfast, in the county of Antrim, \n for leave to bring in a Bill to alter and amend \n an \n Act passed in the first and second years of the reign \n of His present Majesty for the further improvement \n of the said Port and Harbour, and for other \n pur- \n poses, was presented, and read ; and ordered to lie \n upon the Table. \n A Petition of Traders and Inhabitants of the \n se- Hinckley \n veral parishes, townships, hamlets and places here- Small Debts. \n inafter mentioned, for leave to bring in \n a Bill for a \n more easy and speedy method of recovering Small \n Debts within the townships, hamlets \n or places of \n Hinckley, in the counties of Leicester and Warwick, \n or one of them, and of Wykin, Burbage, Sketchley, \n Earl Shilton, Barwell, Sharnford, Sapcote, Stony \n Stanton, Aston Flamville, Elmsthorpe, Stoke Gold- \n ing, Higham-on-the-Hill, Stapleton and Dadlinyton, \n all in the county of Leicester, and of Wolvey, Burton, \n Hastings, Stretton, Baskerville and the Hydes, all \n in the county of Warwick, was presented, and read \n ; \n and ordered to lie upon the Table. \n A Petition of Owners and Occupiers of houses, Runcorn Gas. \n lands and buildings in the town of Runcorn, other- \n wise called Higher Runcorn and Lower Runcorn, \n and within the township or chapelry of Halton, both \n in the parish of Runcorn, in the county of Chester, \n for leave to bring in a Bill for lighting with Gas the \n said town, and the contiguous parts of the said town- \n ship or chapelry, was presented, and read \n ; and \n ordered to lie upon the Table. \n Petitions from Stockton-upon-Tees ;Edinburgh \n ; Church Rates, \n A icester ; Modbury ; Tamworth \n ; Bradford, \n Wilts, (Countess of Huntingdon's Chapel) ;Brad- \n ford, Wilts, (Independents) (two Petitions); Holt \n ; \n and, .Bradford, Wilts, (Baptists); praying for the \n abolition of Church Rates,were presented, and \n read ; and ordered to lie upon the Table. \n A Petition of Merchants, Traders, and others of \n Sheriffs Courts. \n Brighton, for extending the recovery of debts in \n Sheriffs' Courts to debts under 501., and to giving \n redress by law against married women living apart \n from their husbands, and receiving credit \n on their \n own account, was presented, and read ; and ordered \n to lie upon the Table. \n Petitions of Governors and Subscribers to the Grand Juries \n Bandon Dispensary and Fever Hospital ;and, (Ireland) Act. \n Innishannon Dispensary, praying for the repeal of \n the Clause in \n the Grand Juries (Ireland) \n Act, \n passed in the last Session of Parliament, affecting \n the salaries of medical superintendents of dispen- \n saries, were presented, and read ; and ordered to \n lie upon the Table. \n A Petition of Procurators before the Sheriff Court A ttoruies' \n of Dumbartonshire, praying for the repeal of the Certificates. \n annual license Duty imposed upon attornies and \n agents practising in the courts of law in Scotland, \n was presented, and read; and ordered to lie upon \n the Table. \n A Petition of Consumers of Soap in Port Glas- Soap. \n gow, praying for the repeal of the excise Duty on \n Soap, was presented, and read ; and ordered to lie \n upon the Table. \n Ordered,|Motion for leave to bring Bill
